pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,X,Y,Energy,Metallicity
2,25.5169,0.00057,-0.000539,0,0.16233,0.004533,-0.00443,0,0.088245,0.03596,-0.03211,1,43.64627045338531,0.68592,-0.8982,0,0.026,0.019,-0.019,0,0.075,0.006,-0.006,0,77.7,55,-55,0,0,1,0,1,288.530825,40.942304,375.7134083876507,29.62,-29.406,0,11.525,0.109357143,0,0,5685,74,-74,0,0,1.02,0.06,-0.06,0,0,1.03,0.1,-0.1,0,0,2812,3883,0.9849272349272349,14.127272727272727
3,13.7813,0.0001,-0.0001,0,0.16233,0.004533,-0.00443,0,0.088245,0.03596,-0.03211,1,63.941519147580536,0.68592,-0.8982,0,0.0062,0.00602,-0.00352,0,0.107,0.006,-0.006,0,6.2,5.8,-3.4,0,1,1,0,1,290.381547,43.292973,1243.619601701513,29.62,-29.406,0,12.925,0.109357143,0,0,3841,49,-49,0,0,0.52,0.06,-0.06,0,0,0.44,0.02,-0.02,0,0,2823,3919,0.6654539154539154,1.1272727272727272
3,3.504725,0.000028,-0.000028,0,0.0447,0.0006,-0.0006,0,0,0.03596,-0.03211,0,84.92,0.26,-0.26,0,0.022,0.011,-0.011,0,0.178,0.009,-0.009,0,4.9,2.4,-2.4,0,1,1,0,1,298.079439,44.746321,873.05040226879,29.62,-29.406,0,13.549,0.109357143,0,0,5345,100,-100,0,0,0.97,0.04,-0.04,0,0,1.11,0.05,-0.05,0,0,2804,3909,0.9260221760221761,0.890909090909091
2,9.2869944,0.0000088,-0.0000088,0,0.16233,0.004533,-0.00443,0,0,0.03596,-0.03211,0,89.94,0.06,-0.44,0,0.064,0.0275,-0.0247,1,0.197,0.004,-0.004,0,10.4,2.5,-2.319,1,1,1,0,1,290.420839,37.851786,2119,29.62,-29.406,0,11.898,0.109357143,0,0,5541,60,-60,0,0,0.94,0.04,-0.04,0,0,0.85,0.02,-0.02,0,0,2801,3961,0.9599792099792099,1.8909090909090909
5,3.6961219,0.0000043,-0.0000064,0,0.04537,0.00054,-0.0006,0,0.32,0.03596,-0.03211,1,86.5,0.36,-0.31,0,0.027,0.007,-0.007,0,0.17,0.011,-0.019,0,6.5,2,-2.7,0,0,1,0,1,287.698004,42.338726,290,30,-30,0,12.498,0.109357143,0,0,5455,100,-100,0,0,0.91,0.03,-0.03,-1,0,0.94,0.06,-0.1,0,0,2801,3885,0.945079695079695,1.1818181818181819
5,77.61184,0.00015,-0.00037,0,0.3453,0.0041,-0.0046,0,0.6,0.03596,-0.03211,1,89.57,0.043,-0.048,0,0.063,0.0275,-0.0247,1,0.245,0.015,-0.027,0,4.07,2.5,-2.319,1,0,1,0,1,287.698004,42.338726,290,30,-30,0,12.498,0.109357143,0,0,5455,100,-100,0,0,0.91,0.03,-0.03,-1,0,0.94,0.06,-0.1,0,0,2801,3885,0.945079695079695,0.7400000000000001
1,2.78578,0.00003,-0.00003,0,0.042717,0,0,0,0.02,0.1,-0.1,0,83.2,0.28,-0.26,0,0.01598,0.00541,-0.00541,0,0.146,0.002,-0.001,0,6.4,2.1,-2.1,0,0,1,0,2,287.361816,38.714016,113,7,-7,0,8.25,0.012,0,0,6305,50,-50,0,0,1.41,0.02,-0.03,0,0,1.9,0.02,-0.01,0,0,2801,3877,1.0923423423423424,1.1636363636363638
1,289.8623,0.0016,-0.002,0,0.849,0.018,-0.017,0,0,0.03596,-0.03211,0,89.764,0.025,-0.042,0,0.113,0.0275,-0.0247,1,0.212,0.012,-0.012,0,14.7,2.5,-2.319,1,0,1,0,1,289.217484,47.884464,190,29.62,-29.406,0,11.664,0.109357143,0,0,5518,44,-44,0,0,0.97,0.06,-0.06,0,0,0.98,0.02,-0.02,0,0,2801,3880,0.955994455994456,2.6727272727272724
4,7.38449,0.00022,-0.00022,0,0.16233,0.004533,-0.00443,0,0.078,0.015,-0.017,0,90,0.68592,-1.8,0,0.02328,0.00409,-0.00346,0,0.267,0.016,-0.024,0,1.54,0.63,-0.35,0,1,1,0,1,298.318356,47.279495,995.0880153598602,29.62,-29.406,0,15.344,0.109357143,0,0,4079.126702304824,79.373,-80.6307,0,0,1.12,0.09,-0.07,0,0,1.72,0.07,-0.14,0,0,2801,3879,1.0126472626472627,1.06
4,9.84564,0.00052,-0.00051,0,0.16233,0.004533,-0.00443,0,0.15,0.019,-0.051,0,90,0.68592,-1.3,0,0.01605,0.00535,-0.00346,0,0.307,0.018,-0.027,0,0.71,0.33,-0.2,0,1,1,0,1,298.318356,47.279495,1621.5283423003414,29.62,-29.406,0,15.344,0.109357143,0,0,3678.278598826537,79.373,-80.6307,0,0,1.12,0.09,-0.07,0,0,1.72,0.07,-0.14,0,0,2801,3886,1.023042273042273,1.06
4,14.78869,0.0003,-0.00027,0,0.16233,0.004533,-0.00443,0,0.037,0.018,-0.017,0,87.94,0.32,-0.26,0,0.02517,0.00472,-0.00409,0,0.467,0.023,-0.04,0,0.31,0.12,-0.07,0,1,1,0,1,298.318356,47.279495,815.7843886216563,29.62,-29.406,0,15.344,0.109357143,0,0,4659.186358958869,79.373,-80.6307,0,0,1.12,0.09,-0.07,0,0,1.72,0.07,-0.14,0,0,2801,3904,1.0923423423423424,1.06
3,6.2385,0.00057,-0.000539,0,0.16233,0.004533,-0.00443,0,0.088245,0.03596,-0.03211,0,48.895503161958985,0.68592,-0.8982,0,0.0302,0.01321,-0.01321,0,0.242,0.004,-0.004,0,2.5,1.1,-1.1,0,1,1,0,1,286.638393,39.487894,371.95429595496864,29.62,-29.406,0,10.734,0.109357143,0,0,6270,79,-79,0,0,1.19,0.06,-0.06,0,0,1.31,0.02,-0.02,0,0,2811,3884,1.0862785862785862,0.45454545454545453
4,12.28,0.0003,-0.0003,0,0.16233,0.004533,-0.00443,0,0.088245,0.03596,-0.03211,0,19.516620353761077,0.68592,-0.8982,0,0.01611,0.00205,-0.00192,0,0.248,0.01,-0.01,0,1.26,0.21,-0.19,0,1,1,0,2,284.940997,46.56654,508.67973788349036,29.62,-29.406,0,15.473,0.109357143,0,0,3914,119,-119,0,0,0.54,0.03,-0.03,0,0,0.51,0.02,-0.02,0,0,2820,3880,0.6781011781011781,0.2290909090909091
4,17.2559,0.0006,-0.0006,0,0.16233,0.004533,-0.00443,0,0.088245,0.03596,-0.03211,0,27.92547649391232,0.68592,-0.8982,0,0.01951,0.00205,-0.00205,0,0.243,0.011,-0.011,0,1.61,0.27,-0.22,0,1,1,0,2,284.940997,46.56654,1547.9589234694936,29.62,-29.406,0,15.473,0.109357143,0,0,3914,119,-119,0,0,0.54,0.03,-0.03,0,0,0.51,0.02,-0.02,0,0,2857,3903,0.6781011781011781,0.2927272727272727
3,34.545,0.0005,-0.0005,0,0.21,0.01,-0.01,0,0.088245,0.03596,-0.03211,0,89.59,0.3,-0.48,0,0.023,0.021,-0.021,0,0.192,0.009,-0.009,0,4.1,3.9,-3.9,0,1,1,0,1,297.465344,42.88285,700,14,-14,0,13.956,0.109357143,0,0,5990,38,-38,0,0,1.08,0.02,-0.02,0,0,1,0.02,-0.02,0,0,2801,3902,1.0377685377685377,0.7454545454545454
2,10.4208,0.0009,-0.0008,0,0.16233,0.004533,-0.00443,0,0.088245,0.03596,-0.03211,0,63.51664622125462,0.68592,-0.8982,0,0.02341,0.00286,-0.00274,0,0.217,0.008,-0.008,0,2.62,0.38,-0.34,0,1,1,0,2,297.795132,40.417703,526.3943030626624,29.62,-29.406,0,14.072,0.109357143,0,0,5367,94,-94,0,0,0.91,0.03,-0.03,0,0,0.81,0.02,-0.02,0,0,2810,3892,0.9298336798336798,0.4763636363636364
2,13.0729,0.0012,-0.0012,0,0.16233,0.004533,-0.00443,0,0.088245,0.03596,-0.03211,0,75.60257469678379,0.68592,-0.8982,0,0.01145,0.00205,-0.00182,0,0.196,0.006,-0.006,0,1.74,0.3,-0.3,0,1,1,0,2,297.795132,40.417703,917.5749361636558,29.62,-29.406,0,14.072,0.109357143,0,0,5367,94,-94,0,0,0.91,0.03,-0.03,0,0,0.81,0.02,-0.02,0,0,2810,3909,0.9298336798336798,0.31636363636363635
2,16.23855,0.00038,-0.00054,0,0.1283,0.0016,-0.0016,0,0.033,0.03596,-0.03211,1,89.98,0.54,-0.53,0,0.025,0.002,-0.001,0,0.328,0.005,-0.005,0,0.89,0.07,-0.05,0,1,1,0,1,291.250191,49.231827,470,29.62,-29.406,0,11.866,0.109357143,0,0,5911,66,-66,0,0,1.07,0.04,-0.04,0,0,1.63,0.02,-0.02,0,0,2801,3892,1.024081774081774,0.16181818181818183
2,2.42629,0.00057,-0.000539,0,0.16233,0.004533,-0.00443,0,0.088245,0.03596,-0.03211,1,20.688235452552448,0.68592,-0.8982,0,0.02,0.004,-0.004,0,0.128,0.003,-0.003,0,11.82,2.7,-2.7,0,0,1,0,1,291.848044,44.968224,15.327598542276021,29.62,-29.406,0,12.52,0.109357143,0,0,5538,75,-75,0,0,1.07,0.06,-0.06,0,0,1.07,0.02,-0.02,0,0,2801,3873,0.9594594594594594,2.149090909090909
1,3.0240949,0.0000006,-0.0000006,0,0.046,0.0026,-0.0025,0,0.088245,0.03596,-0.03211,1,84.646,0.107,-0.091,0,3.23,0.26,-0.26,0,1.219,0.065,-0.064,0,5,7,-5,0,0,1,0,1,285.240856,46.668255,1950,250,-250,0,13.958,0.109357143,0,0,6041,143,-143,0,0,1.32,0.09,-0.09,0,0,1.42,0.07,-0.07,0,0,2808,3953,1.0466042966042965,0.9090909090909091
2,52.501129,0.000067,-0.000053,0,0.301,0.016,-0.011,0,0.5134,0.0098,-0.0089,0,88.17,0.61,-0.33,0,5.41,0.32,-0.18,0,1.145,0.036,-0.039,0,4.46,0.37,-0.29,0,0,1,0,1,293.282206,48.2859,870,20,-20,0,12.465,0.06,0,0,4995,78,-78,0,0,1.32,0.1,-0.07,0,0,4.06,0.12,-0.08,0,0,2802,3909,0.8653846153846154,0.8109090909090909
