pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,rowupdate
Kepler-11,f,Transit,6,46.6888,0.0027,-0.0032,0,0.25,0.002,-0.002,0,0.013,0.011,-0.009,0,89.47,0.04,-0.04,0,0.006,0.003,-0.003,0,Mass,0.222,0.004,-0.006,0,0.69,0.29,-0.32,0,1,1,0,1,19h48m27.63s,297.115123,+41d54m32.9s,41.909138,613,,,0,14.2,,0,0,V (Johnson),5663,55,-66,0,0,0.96,0.03,-0.03,0,0,1.06,0.02,-0.02,0,0,2014-05-14
Kepler-11,g,Transit,6,118.3807,0.001,-0.0006,0,0.466,0.004,-0.004,0,0.15,,,1,89.87,0.05,-0.06,0,0.079,,,1,Mass,0.297,0.005,-0.007,0,4,,,1,1,1,0,1,19h48m27.63s,297.115123,+41d54m32.9s,41.909138,613,,,0,14.2,,0,0,V (Johnson),5663,55,-66,0,0,0.96,0.03,-0.03,0,0,1.06,0.02,-0.02,0,0,2014-05-14
Kepler-113,b,Transit,2,4.754,,,0,,,,,,,,,,,,,0.037,0.013,-0.013,0,Mass,0.162,0.004,-0.004,0,10.73,3.9,-3.9,0,0,1,0,1,19h11m59.49s,287.997883,+50d56m39.6s,50.944332,,,,,13.461,,0,0,Kepler-band,4725,74,-74,0,0,0.75,0.06,-0.06,0,0,0.69,0.02,-0.02,0,0,2014-05-14
Kepler-131,b,Transit,2,16.092,,,0,,,,,,,,,,,,,0.051,0.011,-0.011,0,Mass,0.215,0.018,-0.018,0,6,1.98,-1.98,0,0,1,0,1,19h14m07.40s,288.530825,+40d56m32.3s,40.942304,,,,,11.525,,0,0,Kepler-band,5685,74,-74,0,0,1.02,0.06,-0.06,0,0,1.03,0.1,-0.1,0,0,2014-05-14
Kepler-131,c,Transit,2,25.5169,,,0,,,,,,,,,,,,,0.026,0.019,-0.019,0,Mass,0.075,0.006,-0.006,0,77.7,55,-55,0,0,1,0,1,19h14m07.40s,288.530825,+40d56m32.3s,40.942304,,,,,11.525,,0,0,Kepler-band,5685,74,-74,0,0,1.02,0.06,-0.06,0,0,1.03,0.1,-0.1,0,0,2014-05-14
Kepler-138,c,Transit,3,13.7813,0.0001,-0.0001,0,,,,,,,,,,,,,0.0062,0.00602,-0.00352,0,Mass,0.107,0.006,-0.006,0,6.2,5.8,-3.4,0,1,1,0,1,19h21m31.57s,290.381547,+43d17m34.7s,43.292973,,,,,12.925,,0,0,Kepler-band,3841,49,-49,0,0,0.52,0.06,-0.06,0,0,0.44,0.02,-0.02,0,0,2015-06-17
Kepler-18,b,Transit,3,3.504725,0.000028,-0.000028,0,0.0447,0.0006,-0.0006,0,0,,,0,84.92,0.26,-0.26,0,0.022,0.011,-0.011,0,Mass,0.178,0.009,-0.009,0,4.9,2.4,-2.4,0,1,1,0,1,19h52m19.07s,298.079439,+44d44m46.8s,44.746321,,,,,13.549,,0,0,Kepler-band,5345,100,-100,0,0,0.97,0.04,-0.04,0,0,1.11,0.05,-0.05,0,0,2014-05-14
Kepler-19,b,Transit,2,9.2869944,0.0000088,-0.0000088,0,,,,,0,,,0,89.94,0.06,-0.44,0,0.064,,,1,Mass,0.197,0.004,-0.004,0,10.4,,,1,1,1,0,1,19h21m41.00s,290.420839,+37d51m06.4s,37.851786,2119,,,0,11.898,,0,0,Kepler-band,5541,60,-60,0,0,0.94,0.04,-0.04,0,0,0.85,0.02,-0.02,0,0,2014-05-14
Kepler-20,b,Transit,5,3.6961219,0.0000043,-0.0000064,0,0.04537,0.00054,-0.0006,0,0.32,,,1,86.5,0.36,-0.31,0,0.027,0.007,-0.007,0,Mass,0.17,0.011,-0.019,0,6.5,2,-2.7,0,0,1,0,1,19h10m47.52s,287.698004,+42d20m19.4s,42.338726,290,30,-30,0,12.498,,0,0,Kepler-band,5455,100,-100,0,0,0.91,0.03,-0.03,-1,0,0.94,0.06,-0.1,0,0,2014-05-14
Kepler-20,d,Transit,5,77.61184,0.00015,-0.00037,0,0.3453,0.0041,-0.0046,0,0.6,,,1,89.57,0.043,-0.048,0,0.063,,,1,Mass,0.245,0.015,-0.027,0,4.07,,,1,0,1,0,1,19h10m47.52s,287.698004,+42d20m19.4s,42.338726,290,30,-30,0,12.498,,0,0,Kepler-band,5455,100,-100,0,0,0.91,0.03,-0.03,-1,0,0.94,0.06,-0.1,0,0,2014-05-14
Kepler-21,b,Transit,1,2.78578,0.00003,-0.00003,0,0.042717,0,0,0,0.02,0.1,-0.1,0,83.2,0.28,-0.26,0,0.01598,0.00541,-0.00541,0,Mass,0.146,0.002,-0.001,0,6.4,2.1,-2.1,0,0,1,0,2,19h09m26.84s,287.361816,+38d42m50.5s,38.714016,113,7,-7,0,8.25,0.012,0,0,V (Johnson),6305,50,-50,0,0,1.41,0.02,-0.03,0,0,1.9,0.02,-0.01,0,0,2016-10-06
